HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2456081.10497,2012-06-02.6082380,ba,1.79,16.265,14.596,0.047,5.570,0.242,V
2456082.10518,2012-06-03.6083731,ba,2.02,15.584,14.845,0.112,4.426,0.450,V
2456193.95763,2012-09-23.4520988,ba,2.04,16.766,14.505,0.028,6.053,0.154,V
2456193.95935,2012-09-23.4538104,ba,2.05,16.671,14.525,0.030,5.941,0.167,V
2456195.95905,2012-09-25.4534656,ba,1.76,16.291,14.490,0.042,6.135,0.236,V
2456195.96070,2012-09-25.4551171,ba,1.76,16.313,14.453,0.039,6.350,0.231,V
2456214.91234,2012-10-14.4066412,ba,2.22,17.016,14.445,0.021,6.400,0.124,V
2456214.91407,2012-10-14.4083699,ba,2.22,16.855,14.416,0.024,6.571,0.143,V
2456216.96426,2012-10-16.4585894,ba,2.14,16.980,14.455,0.022,6.341,0.128,V
2456216.96599,2012-10-16.4603160,ba,2.14,16.906,14.465,0.024,6.277,0.138,V
2456217.95629,2012-10-17.4506273,ba,2.20,16.806,14.416,0.025,6.568,0.149,V
2456217.95800,2012-10-17.4523400,ba,2.19,16.632,14.368,0.034,6.865,0.217,V
2456221.02190,2012-10-20.5163157,bb,1.77,16.856,14.477,0.024,6.209,0.139,V
2456221.02364,2012-10-20.5180312,bb,1.74,16.870,14.485,0.024,6.165,0.138,V
2456223.03866,2012-10-22.5331067,bb,2.01,99.990,99.990,99.990,99.990,99.990,V
2456224.89023,2012-10-24.3847099,bb,1.95,16.765,14.535,0.028,5.886,0.152,V
2456224.89187,2012-10-24.3863476,bb,1.87,16.575,14.527,0.033,5.929,0.180,V
2456230.90433,2012-10-30.3990034,bb,2.00,16.018,14.526,0.055,5.936,0.301,V
2456230.90590,2012-10-30.4005835,bb,2.00,16.091,14.534,0.052,5.892,0.281,V
2456232.98755,2012-11-01.4823084,bb,1.74,16.311,14.543,0.043,5.846,0.230,V
2456232.98917,2012-11-01.4839219,bb,1.83,16.338,14.505,0.041,6.050,0.224,V
2456235.82783,2012-11-04.3226998,bb,1.82,17.095,14.467,0.019,6.265,0.112,V
2456235.82956,2012-11-04.3244387,bb,2.01,16.960,14.533,0.023,5.897,0.126,V
2456241.84926,2012-11-10.3444254,bb,2.39,17.064,14.500,0.021,6.079,0.115,V
2456241.85100,2012-11-10.3461695,bb,2.41,17.040,14.486,0.021,6.159,0.118,V
2456243.98277,2012-11-12.4780547,bb,2.18,16.346,14.150,0.035,8.397,0.267,V
2456243.98438,2012-11-12.4796730,bb,2.24,16.417,14.925,0.065,4.112,0.245,V
2456247.99130,2012-11-16.4868236,bb,1.98,16.043,14.827,0.073,4.499,0.301,V
2456247.99288,2012-11-16.4884026,bb,1.69,15.134,14.802,0.163,4.606,0.687,V
2456252.78597,2012-11-21.2818122,bb,1.81,16.288,14.495,0.042,6.104,0.235,V
2456252.78760,2012-11-21.2834355,bb,1.72,16.045,14.457,0.051,6.322,0.294,V
2456257.89265,2012-11-26.3888575,bb,2.31,15.502,14.434,0.082,6.464,0.483,V
2456257.89419,2012-11-26.3904037,bb,2.15,15.875,14.572,0.066,5.690,0.343,V
2456268.80481,2012-12-07.3018944,bb,1.78,16.767,14.525,0.031,5.942,0.166,V
2456268.80653,2012-12-07.3036163,bb,1.80,16.683,14.497,0.032,6.102,0.179,V
2456271.93290,2012-12-10.4302625,bb,2.05,99.990,99.990,99.990,99.990,99.990,V
2456271.93450,2012-12-10.4318668,bb,2.05,99.990,99.990,99.990,99.990,99.990,V
2456276.82959,2012-12-15.3273980,bb,2.08,16.628,14.537,0.034,5.878,0.184,V
2456276.83130,2012-12-15.3291060,bb,2.03,16.690,14.508,0.031,6.039,0.175,V
2456318.73710,2013-01-26.2390208,bb,2.15,15.143,14.332,0.104,7.095,0.673,V
2456450.10753,2013-06-06.6105028,bb,1.99,16.006,14.558,0.058,5.765,0.304,V
2456450.10892,2013-06-06.6118857,bb,1.99,15.889,14.462,0.059,6.295,0.339,V
2456458.08311,2013-06-14.5853796,bb,1.68,16.109,14.472,0.048,6.242,0.277,V
2456458.08452,2013-06-14.5867961,bb,1.68,16.139,14.439,0.046,6.436,0.269,V
2456462.08123,2013-06-18.5831486,bb,1.75,16.357,14.468,0.038,6.258,0.220,V
2456462.08261,2013-06-18.5845218,bb,1.69,16.271,14.518,0.044,5.979,0.238,V
2456465.07111,2013-06-21.5727468,bb,1.80,15.944,14.365,0.051,6.883,0.322,V
2456465.07249,2013-06-21.5741247,bb,1.76,15.972,14.474,0.055,6.228,0.314,V
2456469.06517,2013-06-25.5664318,bb,1.77,15.700,14.525,0.074,5.944,0.403,V
2456469.06656,2013-06-25.5678262,bb,1.69,15.712,14.505,0.072,6.053,0.399,V
2456472.06421,2013-06-28.5651891,bb,2.03,16.097,14.693,0.060,5.089,0.280,V
2456472.06558,2013-06-28.5665625,bb,2.08,16.015,14.617,0.060,5.458,0.302,V
2456476.06251,2013-07-02.5631049,bb,1.67,16.229,14.473,0.043,6.234,0.248,V
2456476.06387,2013-07-02.5644658,bb,1.64,16.320,14.427,0.038,6.502,0.228,V
2456479.06582,2013-07-05.5661268,bb,1.73,16.451,14.469,0.035,6.258,0.202,V
2456479.06722,2013-07-05.5675204,bb,1.76,16.442,14.518,0.037,5.979,0.204,V
2456480.05604,2013-07-06.5562471,bb,1.81,16.531,14.507,0.034,6.039,0.188,V
2456480.05743,2013-07-06.5576383,bb,1.87,16.478,14.473,0.035,6.231,0.197,V
2456483.05746,2013-07-09.5573737,bb,2.10,16.467,14.464,0.035,6.284,0.199,V
2456483.05883,2013-07-09.5587440,bb,2.05,16.486,14.432,0.033,6.474,0.196,V
2456487.01835,2013-07-13.5178817,bb,1.99,16.308,14.453,0.040,6.345,0.230,V
2456487.01972,2013-07-13.51925,bb,2.02,16.365,14.462,0.038,6.293,0.219,V
2456490.03926,2013-07-16.5385048,bb,1.91,16.415,14.524,0.038,5.945,0.209,V
2456490.04063,2013-07-16.5398754,bb,1.73,16.356,14.433,0.037,6.468,0.221,V
2456491.03987,2013-07-17.5390085,bb,1.86,16.302,14.479,0.041,6.197,0.232,V
2456491.04124,2013-07-17.5403795,bb,1.67,16.484,14.490,0.035,6.134,0.196,V
2456494.01951,2013-07-20.5183766,bb,2.02,16.027,14.462,0.052,6.296,0.298,V
2456494.02090,2013-07-20.5197581,bb,2.00,15.923,14.458,0.057,6.320,0.328,V
2456498.02484,2013-07-24.5233214,bb,1.71,15.656,14.537,0.078,5.877,0.420,V
2456498.02620,2013-07-24.5246813,bb,1.66,15.842,14.328,0.054,7.122,0.354,V
2456509.03170,2013-08-04.5291879,bb,1.68,16.591,14.446,0.030,6.389,0.178,V
2456509.03344,2013-08-04.5309262,bb,1.67,16.549,14.541,0.034,5.856,0.185,V
2456513.97127,2013-08-09.4683282,bb,1.67,16.405,14.458,0.036,6.324,0.211,V
2456513.97291,2013-08-09.4699747,bb,1.83,16.279,14.532,0.044,5.900,0.237,V
2456518.00843,2013-08-13.5051659,bb,1.75,16.355,14.462,0.038,6.296,0.221,V
2456518.00984,2013-08-13.5065707,bb,1.89,16.413,14.399,0.034,6.675,0.209,V
2456521.00223,2013-08-16.4987246,bb,1.77,16.381,14.531,0.040,5.905,0.215,V
2456521.00360,2013-08-16.5000965,bb,1.76,16.366,14.501,0.039,6.074,0.218,V
2456525.94460,2013-08-21.4407334,bb,1.67,15.455,14.613,0.101,5.477,0.505,V
2456525.94596,2013-08-21.4420901,bb,1.90,15.382,14.520,0.099,5.973,0.540,V
2456531.97660,2013-08-27.4723178,bb,1.77,16.272,14.464,0.041,6.287,0.238,V
2456531.97796,2013-08-27.4736721,bb,1.75,16.224,14.462,0.043,6.294,0.249,V
2456534.04513,2013-08-29.5407118,bb,1.83,16.476,14.524,0.036,5.951,0.197,V
2456534.04658,2013-08-29.5421662,bb,1.70,16.417,14.443,0.035,6.409,0.208,V
2456535.97358,2013-08-31.4690425,bb,1.76,16.520,14.487,0.034,6.152,0.190,V
2456535.97494,2013-08-31.4704060,bb,1.80,16.469,14.474,0.035,6.229,0.199,V
2456540.88014,2013-09-05.3753245,bb,1.70,16.394,14.516,0.039,5.988,0.213,V
2456540.88152,2013-09-05.3767050,bb,1.83,16.466,14.556,0.038,5.772,0.199,V
2456554.82611,2013-09-19.3206995,bb,1.95,14.925,99.990,99.990,3.970,0.822,V
2456554.82748,2013-09-19.3220700,bb,1.94,15.004,14.455,0.132,6.333,0.765,V
2456559.81602,2013-09-24.3104748,bb,1.67,16.157,14.506,0.048,6.045,0.265,V
2456559.81739,2013-09-24.3118437,bb,1.88,16.144,14.552,0.051,5.793,0.268,V
2456563.92188,2013-09-28.4162406,bb,2.02,99.990,99.990,99.990,99.990,99.990,V
2456563.92323,2013-09-28.4175979,bb,2.02,14.147,99.990,99.990,7.080,1.684,V
2456567.87050,2013-10-02.3648082,bb,1.89,15.987,14.389,0.050,6.734,0.310,V
2456567.87188,2013-10-02.3661870,bb,1.72,16.091,14.556,0.053,5.772,0.281,V
2456570.78393,2013-10-05.2782143,bb,1.83,16.335,14.529,0.041,5.920,0.225,V
2456570.78530,2013-10-05.2795818,bb,1.86,16.313,14.456,0.040,6.332,0.230,V
2456575.90396,2013-10-10.3982305,bb,1.72,16.459,14.439,0.034,6.436,0.201,V
2456575.90534,2013-10-10.3996098,bb,1.79,16.526,14.585,0.037,5.620,0.189,V
2456600.87727,2013-11-04.3721290,bb,1.91,16.859,14.535,0.028,5.884,0.152,V
2456600.87867,2013-11-04.3735336,bb,1.99,16.798,14.429,0.028,6.490,0.162,V
2456631.81812,2013-12-05.3150145,bd,1.43,16.439,14.463,0.035,6.293,0.204,V
2456631.81949,2013-12-05.3163847,bd,1.42,16.469,14.516,0.036,5.991,0.199,V
2456648.74806,2013-12-22.2464962,bb,1.98,16.470,14.472,0.035,6.243,0.199,V
2456648.74936,2013-12-22.2477995,bb,2.01,16.422,14.484,0.037,6.167,0.209,V
2456655.74852,2013-12-29.2476422,bb,2.02,16.512,14.498,0.034,6.087,0.192,V
2456655.74982,2013-12-29.2489415,bb,2.05,16.535,14.488,0.033,6.146,0.188,V
2456808.11475,2014-05-30.6178913,bb,2.29,15.187,14.513,0.118,6.006,0.646,V
2456808.11620,2014-05-30.6193442,bb,2.26,15.147,14.562,0.128,5.743,0.670,V
2456811.11882,2014-06-02.6217232,bb,2.33,14.991,14.564,0.148,5.732,0.774,V
2456812.11468,2014-06-03.6174988,bb,2.05,15.495,14.609,0.097,5.497,0.487,V
2456812.11619,2014-06-03.6190199,bb,2.01,15.341,14.404,0.092,6.645,0.561,V
2456819.09830,2014-06-10.6005425,bb,2.07,16.152,14.463,0.046,6.289,0.266,V
2456821.09326,2014-06-12.5953261,bb,2.22,15.312,14.412,0.096,6.595,0.576,V
2456821.09475,2014-06-12.5968239,bb,2.21,15.504,14.700,0.105,5.058,0.483,V
2456824.10542,2014-06-15.6072172,bb,2.20,15.650,14.566,0.081,5.721,0.422,V
2456824.10687,2014-06-15.6086777,bb,2.22,15.634,14.429,0.072,6.491,0.428,V
2456825.09863,2014-06-16.6003414,bb,2.15,15.776,14.578,0.073,5.657,0.376,V
2456825.10011,2014-06-16.6018240,bb,2.14,15.822,14.481,0.064,6.187,0.360,V
2456833.08186,2014-06-24.5828337,bb,2.07,16.313,14.572,0.044,5.691,0.229,V
2456833.08329,2014-06-24.5842664,bb,2.04,16.338,14.603,0.044,5.531,0.224,V
2456836.07745,2014-06-27.5781429,bb,1.68,16.399,14.503,0.038,6.060,0.212,V
2456836.07888,2014-06-27.5795774,bb,1.70,16.364,14.516,0.040,5.989,0.219,V
2456847.06259,2014-07-08.5622189,bb,1.72,16.259,14.431,0.041,6.476,0.241,V
2456847.06405,2014-07-08.5636847,bb,1.62,16.319,14.526,0.042,5.936,0.228,V
2456850.10726,2014-07-11.6065956,bb,1.72,15.982,14.577,0.060,5.664,0.311,V
2456850.10871,2014-07-11.6080458,bb,1.83,15.963,14.466,0.055,6.276,0.316,V
2456851.05665,2014-07-12.5559006,bb,1.81,15.472,14.387,0.081,6.749,0.497,V
2456851.05810,2014-07-12.5573473,bb,1.94,15.584,14.624,0.091,5.421,0.449,V
2456863.04265,2014-07-24.5407560,bb,1.73,16.382,14.471,0.038,6.246,0.215,V
2456863.04425,2014-07-24.5423502,bb,1.84,16.443,14.461,0.035,6.301,0.204,V
2456864.04158,2014-07-25.5395887,bb,1.64,16.470,14.415,0.033,6.577,0.199,V
2456864.04301,2014-07-25.5410211,bb,1.72,16.574,14.487,0.032,6.151,0.181,V
2456866.03758,2014-07-27.5354037,bb,2.03,16.436,14.485,0.036,6.162,0.205,V
2456866.03911,2014-07-27.5369296,bb,1.81,16.397,14.497,0.038,6.095,0.212,V
2456867.03890,2014-07-28.5366372,bb,2.14,16.409,14.468,0.037,6.264,0.210,V
2456867.04048,2014-07-28.5382118,bb,2.16,16.444,14.528,0.037,5.925,0.203,V
2456869.02863,2014-07-30.5261732,bb,2.09,16.390,14.544,0.040,5.835,0.214,V
2456869.03007,2014-07-30.5276094,bb,2.09,16.381,14.565,0.041,5.724,0.215,V
2456869.95840,2014-07-31.4558627,bb,2.09,14.172,99.990,99.990,6.416,1.650,V
2456869.95981,2014-07-31.4572781,bb,2.06,13.976,99.990,99.990,5.744,1.978,V
2456874.02651,2014-08-04.5236126,bb,1.78,16.476,14.495,0.035,6.110,0.198,V
2456874.02797,2014-08-04.5250664,bb,1.85,16.542,14.531,0.034,5.909,0.186,V
2456875.02675,2014-08-05.5237656,bb,1.66,16.461,14.402,0.033,6.660,0.200,V
2456875.02834,2014-08-05.5253511,bb,1.70,16.460,14.494,0.036,6.112,0.200,V
2456876.03445,2014-08-06.5313747,bb,1.67,16.466,14.417,0.033,6.560,0.200,V
2456876.03587,2014-08-06.5327998,bb,1.76,16.520,14.498,0.034,6.091,0.190,V
2456877.02101,2014-08-07.5178550,bb,1.98,16.227,14.658,0.052,5.256,0.248,V
2456877.02243,2014-08-07.5192704,bb,1.88,16.163,14.487,0.047,6.153,0.263,V
2456886.02714,2014-08-16.5232490,bb,1.70,16.152,14.503,0.048,6.063,0.266,V
2456886.02860,2014-08-16.5247074,bb,1.69,16.310,14.504,0.041,6.057,0.230,V
2456886.97326,2014-08-17.4692914,bb,2.11,16.295,14.444,0.040,6.398,0.233,V
2456886.97504,2014-08-17.4710753,bb,2.14,16.218,14.509,0.045,6.026,0.250,V
2456889.00003,2014-08-19.4959114,bb,2.02,16.377,14.571,0.041,5.699,0.216,V
2456889.00145,2014-08-19.4973363,bb,2.04,16.414,14.553,0.039,5.791,0.209,V
2456890.13851,2014-08-20.6343136,bb,2.10,16.025,14.505,0.054,6.051,0.299,V
2456890.13995,2014-08-20.6357487,bb,2.14,15.895,14.592,0.066,5.590,0.337,V
2456891.99206,2014-08-22.4877243,bb,1.67,16.351,14.446,0.038,6.387,0.222,V
2456891.99349,2014-08-22.4891629,bb,1.75,16.409,14.531,0.039,5.909,0.210,V
2456892.99938,2014-08-23.4949765,bb,1.77,16.482,14.478,0.035,6.202,0.196,V
2456893.00085,2014-08-23.4964512,bb,1.75,16.482,14.463,0.034,6.293,0.196,V
2456895.99283,2014-08-26.4882236,bb,1.69,16.419,14.460,0.036,6.308,0.208,V
2456896.99454,2014-08-27.4898640,bb,1.74,16.448,14.510,0.037,6.025,0.203,V
2456896.99596,2014-08-27.4912798,bb,1.72,16.388,14.468,0.037,6.260,0.214,V
2456897.98098,2014-08-28.4762423,bb,1.82,16.451,14.603,0.040,5.531,0.202,V
2456897.98242,2014-08-28.4776795,bb,1.82,16.419,14.497,0.037,6.099,0.208,V
2456901.10737,2014-08-31.6024383,bb,1.79,16.519,14.472,0.033,6.240,0.190,V
2456901.10880,2014-08-31.6038666,bb,1.84,16.585,14.484,0.032,6.168,0.179,V
2456904.97332,2014-09-04.4681628,bb,1.75,16.300,14.522,0.043,5.956,0.232,V
2456904.97474,2014-09-04.4695920,bb,1.75,16.362,14.533,0.041,5.895,0.219,V
2456906.88697,2014-09-06.3817211,bb,1.74,15.771,14.589,0.074,5.605,0.377,V
2456906.88848,2014-09-06.3832231,bb,1.83,15.806,14.513,0.067,6.005,0.366,V
2456907.95920,2014-09-07.4538940,bb,2.02,15.790,14.553,0.070,5.791,0.371,V
2456907.96067,2014-09-07.4553552,bb,1.99,15.900,14.414,0.056,6.578,0.336,V
2456914.94792,2014-09-14.4422950,bb,1.74,16.152,14.628,0.054,5.401,0.266,V
2456914.94942,2014-09-14.4437967,bb,1.76,16.214,14.519,0.046,5.978,0.251,V
2456916.96234,2014-09-16.4566333,bb,1.68,16.426,14.482,0.036,6.181,0.207,V
2456916.96381,2014-09-16.4581094,bb,1.75,16.409,14.531,0.039,5.909,0.210,V
2456918.10246,2014-09-17.5967136,bb,1.87,16.347,14.392,0.036,6.714,0.222,V
2456918.10389,2014-09-17.5981442,bb,1.70,16.521,14.534,0.035,5.890,0.189,V
2456918.96628,2014-09-18.4605038,bb,1.88,16.470,14.441,0.034,6.416,0.199,V
2456918.96775,2014-09-18.4619724,bb,1.80,16.526,14.549,0.035,5.814,0.189,V
2456919.95739,2014-09-19.4515854,bb,2.03,16.410,14.490,0.037,6.134,0.210,V
2456919.95897,2014-09-19.4531660,bb,2.04,16.453,14.506,0.036,6.046,0.202,V
2456924.94990,2014-09-24.4439466,bb,1.71,16.514,14.572,0.037,5.690,0.191,V
2456924.95156,2014-09-24.4456061,bb,1.72,16.608,14.574,0.034,5.679,0.175,V
2456932.84016,2014-10-02.3340712,bb,2.01,16.145,14.475,0.047,6.221,0.268,V
2456932.84165,2014-10-02.3355603,bb,2.02,16.077,14.544,0.053,5.840,0.285,V
2456933.80770,2014-10-03.3015988,bb,1.69,14.784,14.277,0.137,7.464,0.938,V
2456933.80910,2014-10-03.3029972,bb,1.63,15.561,14.308,0.069,7.257,0.458,V
2456944.03038,2014-10-13.5242645,bb,2.29,16.075,14.536,0.053,5.884,0.286,V
2456944.03187,2014-10-13.5257505,bb,2.30,16.130,14.586,0.053,5.618,0.271,V
2456969.86053,2014-11-08.3551645,bb,1.72,15.741,14.497,0.070,6.096,0.388,V
2456969.86192,2014-11-08.3565535,bb,1.71,15.779,14.577,0.072,5.662,0.375,V
2456970.93504,2014-11-09.4297309,bb,2.00,15.953,14.673,0.067,5.185,0.319,V
2456970.93643,2014-11-09.4311192,bb,1.99,15.831,14.522,0.066,5.954,0.357,V
2456971.87033,2014-11-10.3650652,bb,1.74,16.132,14.618,0.054,5.454,0.271,V
2456971.87173,2014-11-10.3664688,bb,1.79,16.154,14.596,0.052,5.565,0.265,V
2456972.86760,2014-11-11.3624006,bb,2.10,16.336,14.598,0.044,5.558,0.225,V
2456972.86905,2014-11-11.3638436,bb,2.07,16.324,14.517,0.041,5.981,0.227,V
2456973.94636,2014-11-12.4412103,bb,1.65,16.132,14.505,0.049,6.057,0.271,V
2456973.94777,2014-11-12.4426141,bb,1.68,16.205,14.463,0.044,6.289,0.253,V
2456978.84196,2014-11-17.3371003,bb,2.21,16.440,14.442,0.035,6.416,0.204,V
2456978.84339,2014-11-17.3385334,bb,2.21,16.390,14.507,0.039,6.041,0.214,V
2456980.85673,2014-11-19.3520005,bb,2.17,16.350,14.430,0.037,6.485,0.222,V
2456980.85832,2014-11-19.3535920,bb,2.06,16.424,14.461,0.036,6.303,0.207,V
2456982.85616,2014-11-21.3515622,bb,1.72,16.169,14.523,0.048,5.954,0.262,V
2456982.85759,2014-11-21.3529886,bb,1.66,16.152,14.479,0.047,6.200,0.266,V
2456984.83455,2014-11-23.3300971,bb,1.68,16.402,14.437,0.036,6.441,0.212,V
2456984.83603,2014-11-23.3315809,bb,1.63,16.421,14.478,0.037,6.199,0.208,V
2456988.83504,2014-11-27.3308657,bb,1.78,16.450,14.510,0.037,6.021,0.202,V
2456988.83644,2014-11-27.3322687,bb,1.82,16.398,14.495,0.038,6.106,0.212,V
2456990.83185,2014-11-29.3278315,bb,1.81,15.428,14.566,0.099,5.721,0.518,V
2456990.83333,2014-11-29.3293159,bb,1.81,15.491,14.537,0.091,5.878,0.488,V
2456997.88019,2014-12-06.3767498,bb,1.66,15.365,14.369,0.088,6.863,0.549,V
2456997.88168,2014-12-06.3782342,bb,1.84,15.446,14.711,0.111,5.004,0.509,V
2456998.84422,2014-12-07.3408616,bb,2.01,15.782,14.546,0.070,5.826,0.374,V
2456998.84565,2014-12-07.3422969,bb,2.01,15.761,14.550,0.072,5.804,0.381,V
2457000.80674,2014-12-09.3035479,bb,2.07,16.003,14.437,0.052,6.438,0.305,V
2457000.80814,2014-12-09.3049475,bb,2.10,16.057,14.545,0.054,5.832,0.291,V
2457001.81868,2014-12-10.3155810,bb,1.68,16.187,14.511,0.047,6.019,0.258,V
2457001.82016,2014-12-10.3170569,bb,1.83,16.227,14.570,0.048,5.701,0.248,V
2457003.80305,2014-12-12.3001255,bb,1.75,16.506,14.524,0.035,5.946,0.192,V
2457003.80448,2014-12-12.3015555,bb,1.71,16.453,14.519,0.037,5.975,0.202,V
2457005.80637,2014-12-14.3036277,bb,2.22,15.823,14.441,0.061,6.420,0.360,V
2457005.80790,2014-12-14.3051583,bb,2.16,15.737,14.581,0.076,5.644,0.390,V
2457008.79877,2014-12-17.2962994,bb,2.13,16.397,14.499,0.038,6.090,0.213,V
2457008.80023,2014-12-17.2977576,bb,2.11,16.482,14.466,0.034,6.275,0.197,V
2457030.70423,2015-01-08.2039141,bb,2.28,15.861,14.546,0.065,5.825,0.348,V
2457030.70569,2015-01-08.2053778,bb,2.29,15.970,14.530,0.058,5.915,0.314,V
2457032.75611,2015-01-10.2559932,bb,1.65,16.312,14.510,0.042,6.020,0.230,V
2457032.75749,2015-01-10.2573758,bb,1.66,16.371,14.521,0.040,5.967,0.217,V
2457035.74899,2015-01-13.2491831,bb,2.06,16.417,14.579,0.040,5.654,0.209,V
2457035.75039,2015-01-13.2505777,bb,2.07,16.337,14.499,0.040,6.087,0.224,V
2457037.74069,2015-01-15.2410777,bb,1.63,16.409,14.515,0.038,5.994,0.210,V
2457037.74213,2015-01-15.2425170,bb,1.64,16.302,14.541,0.043,5.855,0.231,V
2457039.72710,2015-01-17.2276857,bb,1.73,16.379,14.536,0.040,5.884,0.216,V
2457039.72849,2015-01-17.2290777,bb,1.69,16.333,14.444,0.038,6.398,0.225,V
2457051.71392,2015-01-29.2156548,bb,1.63,15.968,14.565,0.060,5.725,0.315,V
2457051.71538,2015-01-29.2171233,bb,1.66,15.911,14.488,0.059,6.146,0.332,V
2457177.11456,2015-06-03.6178298,bb,1.96,14.957,14.902,0.208,4.199,0.798,V
2457177.11616,2015-06-03.6194349,bb,1.94,14.783,99.990,99.990,4.174,0.937,V
2457178.11177,2015-06-04.6149578,bb,1.79,15.318,14.428,0.097,6.498,0.573,V
2457178.11333,2015-06-04.6165248,bb,1.76,15.146,14.768,0.155,4.753,0.671,V
2457183.11677,2015-06-09.6195383,bb,1.75,15.123,14.350,0.107,6.983,0.686,V
2457183.11836,2015-06-09.6211261,bb,1.83,14.839,14.437,0.151,6.443,0.891,V
2457188.10623,2015-06-14.6085731,bb,1.91,99.990,99.990,99.990,99.990,99.990,V
2457189.10321,2015-06-15.6054658,bb,2.23,16.232,14.431,0.042,6.481,0.247,V
2457189.10545,2015-06-15.6077055,bb,2.20,16.118,14.445,0.047,6.398,0.274,V
2457190.10373,2015-06-16.6058907,bb,1.68,16.100,14.566,0.053,5.720,0.279,V
2457190.10527,2015-06-16.6074368,bb,1.77,16.213,14.484,0.045,6.169,0.252,V
2457191.09455,2015-06-17.5966276,bb,2.00,16.058,14.437,0.049,6.443,0.290,V
2457191.09605,2015-06-17.5981228,bb,1.82,16.121,14.510,0.050,6.026,0.274,V
2457192.08868,2015-06-18.5906412,bb,1.64,15.815,14.437,0.061,6.444,0.363,V
2457192.09004,2015-06-18.5919993,bb,1.85,15.972,14.458,0.054,6.317,0.314,V
2457193.09815,2015-06-19.6000194,bb,1.74,16.215,14.477,0.044,6.215,0.251,V
2457193.09970,2015-06-19.6015716,bb,1.91,16.276,14.477,0.042,6.209,0.237,V
2457196.09612,2015-06-22.5977238,bb,2.23,16.371,14.478,0.038,6.206,0.218,V
2457196.09762,2015-06-22.5992225,bb,2.22,16.284,14.505,0.042,6.057,0.236,V
2457204.06495,2015-06-30.5657853,bb,1.76,15.654,14.338,0.065,7.059,0.421,V
2457204.06647,2015-06-30.5673046,bb,1.66,15.593,14.475,0.078,6.223,0.445,V
2457206.06290,2015-07-02.5635416,bb,1.72,15.506,14.640,0.099,5.343,0.482,V
2457206.06445,2015-07-02.5650957,bb,1.66,15.474,14.522,0.091,5.961,0.496,V
2457209.10155,2015-07-05.6018954,bb,1.68,15.731,14.455,0.068,6.336,0.392,V
2457209.10305,2015-07-05.6034031,bb,1.76,15.754,14.574,0.074,5.680,0.383,V
2457216.07541,2015-07-12.5750871,bb,1.69,16.299,14.580,0.045,5.651,0.233,V
2457216.07697,2015-07-12.5766440,bb,1.71,16.231,14.481,0.044,6.184,0.248,V
2457222.83912,2015-07-19.3381427,bg,1.50,99.990,99.990,99.990,99.990,99.990,V
2457222.84053,2015-07-19.3395483,bg,1.51,99.990,99.990,99.990,99.990,99.990,V
2457223.03950,2015-07-19.5385019,bb,1.63,16.269,14.463,0.041,6.290,0.239,V
2457223.04103,2015-07-19.5400327,bb,1.60,16.280,14.471,0.041,6.245,0.237,V
2457224.75277,2015-07-21.2516125,bg,1.80,99.990,99.990,99.990,99.990,99.990,V
2457224.75420,2015-07-21.2530355,bg,1.69,99.990,99.990,99.990,99.990,99.990,V
2457227.04458,2015-07-23.5432027,bb,1.63,16.288,14.470,0.041,6.248,0.235,V
2457227.04606,2015-07-23.5446844,bb,1.62,16.300,14.508,0.042,6.032,0.232,V
2457231.03127,2015-07-27.5295209,bb,1.66,16.275,14.483,0.042,6.177,0.238,V
2457231.03270,2015-07-27.5309475,bb,1.73,16.361,14.498,0.039,6.089,0.220,V
2457231.07136,2015-07-27.5696031,bb,1.71,16.585,14.535,0.033,5.887,0.179,V
2457231.07282,2015-07-27.5710660,bb,1.67,16.311,14.413,0.038,6.588,0.230,V
2457232.00320,2015-07-28.5013626,bb,1.76,15.804,14.478,0.065,6.205,0.366,V
2457232.00463,2015-07-28.5027850,bb,1.81,15.795,14.528,0.068,5.928,0.369,V
2457235.98056,2015-08-01.4783548,bb,1.72,15.501,14.490,0.086,6.133,0.484,V
2457235.98203,2015-08-01.4798289,bb,1.69,15.569,14.336,0.070,7.074,0.455,V
2457242.08481,2015-08-07.5820810,bb,1.68,16.200,14.452,0.044,6.355,0.255,V
2457242.08622,2015-08-07.5834846,bb,1.62,16.296,14.495,0.042,6.112,0.233,V
2457244.05493,2015-08-09.5520218,bb,1.69,16.340,14.375,0.036,6.826,0.224,V
2457244.05634,2015-08-09.5534391,bb,1.62,16.251,14.442,0.041,6.414,0.243,V
2457246.06264,2015-08-11.5595646,bb,1.71,16.391,14.454,0.037,6.347,0.214,V
2457246.06406,2015-08-11.5609923,bb,1.59,16.484,14.445,0.033,6.398,0.196,V
2457249.02254,2015-08-14.5192347,bb,1.65,16.379,14.422,0.036,6.535,0.216,V
2457249.02396,2015-08-14.5206473,bb,1.63,16.406,14.396,0.034,6.690,0.211,V
2457261.92644,2015-08-27.4221913,bb,1.78,15.756,14.507,0.069,6.042,0.383,V
2457261.92770,2015-08-27.4234468,bb,1.77,15.778,14.578,0.072,5.663,0.375,V
2457261.92895,2015-08-27.4247034,bb,1.73,15.786,14.432,0.063,6.473,0.373,V
2457264.06559,2015-08-29.5612071,bb,1.64,15.344,14.617,0.112,5.456,0.559,V
