HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458091.42221,2017-12-03.9189866,bn,1.67,15.600,15.025,0.129,3.551,0.418,g
2458091.42342,2017-12-03.9202018,bn,1.70,15.806,14.901,0.095,3.976,0.346,g
2458091.42463,2017-12-03.9214086,bn,1.65,15.569,14.821,0.110,4.280,0.430,g
2458091.81876,2017-12-04.3155677,bb,2.00,15.477,14.361,0.078,6.907,0.495,V
2458091.82002,2017-12-04.3168350,bb,2.01,15.625,14.550,0.081,5.805,0.432,V
2458091.82129,2017-12-04.3180987,bb,2.04,15.628,14.785,0.101,4.676,0.431,V
2458094.42315,2017-12-06.9201800,bn,1.99,99.990,99.990,99.990,99.990,99.990,g
2458094.76481,2017-12-07.2618701,bb,2.39,16.568,14.548,0.034,5.815,0.181,V
2458094.76607,2017-12-07.2631280,bb,2.34,16.439,14.480,0.036,6.193,0.204,V
2458094.76734,2017-12-07.2643988,bb,2.38,16.540,14.447,0.032,6.389,0.186,V
2458096.86455,2017-12-09.3617966,bb,1.68,16.324,14.439,0.039,6.432,0.228,V
2458096.86581,2017-12-09.3630521,bb,1.63,16.416,14.430,0.035,6.482,0.209,V
2458096.86706,2017-12-09.3643052,bb,1.69,16.403,14.459,0.036,6.312,0.211,V
2458099.78174,2017-12-12.2792440,bb,2.30,16.332,14.559,0.043,5.757,0.225,V
2458099.78301,2017-12-12.2805118,bb,2.35,16.306,14.533,0.043,5.896,0.231,V
2458099.78428,2017-12-12.2817825,bb,2.20,16.279,14.432,0.040,6.471,0.237,V
2458110.83158,2017-12-23.3301153,bb,1.67,16.358,14.474,0.039,6.227,0.220,V
2458112.77568,2017-12-25.2744086,bb,2.33,16.264,14.423,0.040,6.529,0.240,V
2458112.77712,2017-12-25.2758418,bb,2.36,16.187,14.452,0.044,6.352,0.257,V
2458112.77854,2017-12-25.2772652,bb,2.32,16.245,14.527,0.045,5.931,0.244,V
2458117.34568,2017-12-29.8448587,bn,1.64,16.049,14.852,0.073,4.161,0.277,g
2458117.34689,2017-12-29.8460696,bn,1.61,15.948,14.820,0.078,4.288,0.304,g
2458117.34810,2017-12-29.8472844,bn,1.99,15.808,14.862,0.092,4.120,0.346,g
2458117.58185,2017-12-30.0810547,br,1.48,16.319,14.942,0.062,3.829,0.216,g
2458117.58345,2017-12-30.0826564,br,1.48,16.264,14.897,0.062,3.990,0.227,g
2458117.58519,2017-12-30.0843989,br,1.49,16.285,14.955,0.064,3.786,0.222,g
2458117.78530,2017-12-30.2845217,bb,2.19,15.901,14.425,0.056,6.516,0.335,V
2458117.78673,2017-12-30.2859461,bb,2.31,15.790,14.416,0.062,6.571,0.371,V
2458117.78814,2017-12-30.2873611,bb,2.23,15.747,14.462,0.067,6.294,0.386,V
2458122.76377,2018-01-04.2634937,bb,1.70,16.061,14.540,0.054,5.862,0.289,V
2458122.76654,2018-01-04.2662574,bb,1.62,15.898,14.473,0.059,6.233,0.336,V
2458123.75012,2018-01-05.2499443,bb,1.85,16.448,14.543,0.038,5.842,0.203,V
2458123.75139,2018-01-05.2512148,bb,1.70,16.422,14.463,0.036,6.293,0.208,V
2458123.75266,2018-01-05.2524776,bb,1.65,16.507,14.461,0.033,6.302,0.192,V
2458124.77626,2018-01-06.2761827,bb,1.81,16.287,14.405,0.039,6.631,0.235,V
2458124.77754,2018-01-06.2774594,bb,1.79,16.463,14.486,0.035,6.162,0.200,V
2458124.77882,2018-01-06.2787346,bb,1.79,16.394,14.499,0.038,6.086,0.213,V
2458125.75328,2018-01-07.2532962,bb,2.02,16.343,14.448,0.038,6.378,0.223,V
2458125.75467,2018-01-07.2546851,bb,2.08,16.416,14.411,0.034,6.602,0.209,V
2458125.75594,2018-01-07.2559603,bb,2.09,16.211,14.371,0.040,6.844,0.252,V
2458126.74972,2018-01-08.2498401,bb,2.07,16.378,14.526,0.040,5.935,0.216,V
2458126.75101,2018-01-08.2511270,bb,2.10,16.294,14.473,0.041,6.231,0.234,V
2458126.75228,2018-01-08.2524038,bb,2.13,16.196,14.460,0.044,6.310,0.256,V
2458127.74350,2018-01-09.2437223,bb,1.84,16.406,14.516,0.038,5.990,0.211,V
2458127.74478,2018-01-09.2449908,bb,1.82,16.341,14.421,0.037,6.542,0.224,V
2458127.74605,2018-01-09.2462666,bb,1.82,16.373,14.436,0.037,6.446,0.217,V
2458128.74257,2018-01-10.2428890,bb,1.69,16.497,14.449,0.033,6.368,0.194,V
2458128.74385,2018-01-10.2441670,bb,1.63,16.351,14.561,0.042,5.747,0.222,V
2458128.74512,2018-01-10.2454416,bb,1.74,16.329,14.506,0.041,6.046,0.226,V
